vOTU,GENOME_LENGTH,GENOME_COVERAGE,NEAR_COMPLETE,ORDER,FAMILY,GENUS,NOVEL_GENUS,SPECIES,NOVEL_SPECIES,HOST_GENBANK_ACCESSION,HOST_GENUS,HOST_NAME,VC,SUBCLUSTER,REF_PHAGES_IN_VC,VC_IDENTITY,C1RH_J,C1RH_M,C1RH_N,C1RO_J,C1RO_M,C1S_J,C1S_M,C1S_N,C2RH_J,C2RH_M,C2RH_N,C2RO_J,C2RO_M,C2RO_N,C2S_J,C2S_M,C2S_N,C3RH_J,C3RH_M,C3RH_N,C3RO_J,C3RO_M,C3RO_N,C3S_J,C3S_M,C3S_N,C4RH_J,C4RH_M,C4RH_N,C4RO_M,C4RO_N,C4S_J,C4S_M,C4S_N,V1RH_J,V1RH_M,V1RH_N,V1RO_J,V1RO_N,V1S_J,V1S_M,V1S_N,V2RH_J,V2RH_N,V2RO_M,V2RO_N,V2S_J,V2S_M,V2S_N,V3RH_J,V3RH_M,V3RH_N,V3RO_J,V3RO_M,V3RO_N,V3S_J,V3S_M,V3S_N,V4RH_J,V4RH_M,V4RH_N,V4RO_J,V4RO_M,V4RO_N,V4S_J,V4S_M,V4S_N
ssRNA_139109,2269,13.23596,YES,Norzivirales,Fiersviridae,Genus_902,YES,Species_2551,YES,NA,NA,NA,2774,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_55283,3243,103.228787,NO,Timlovirales,Steitzviridae,Genus_0,NO,Species_58,NO,GCA_002844315.1,Candidatus,Candidatus Hodgkinia cicadicola,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,3,0,7,0,0,0,0,5,0,5,0,2,0,0,0,0,0,8,6,2,0,0,0,0,0,4,0,6
ssRNA_58860,3454,7.838491,YES,Norzivirales,Fiersviridae,Genus_968,NO,Species_2709,YES,GCA_002844315.1,Candidatus,Candidatus Hodgkinia cicadicola,1951,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,26,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ssRNA_83525,3725,15.92335,YES,Timlovirales,Steitzviridae,Genus_778,YES,Species_2265,YES,NA,NA,NA,3171,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891
ssRNA_9056,3764,24.913314,YES,Timlovirales,Steitzviridae,Genus_142,YES,Species_344,YES,NA,NA,NA,2275,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ssRNA_25033,3862,14.891139,YES,Norzivirales,Fiersviridae,Genus_715,NO,Species_2906,YES,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_29405,3865,11.601944,YES,Timlovirales,Steitzviridae,Genus_39,NO,Species_124,YES,NA,NA,NA,NA,NA,NA,NA,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_51623,3911,16.863896,YES,Timlovirales,Steitzviridae,Genus_460,YES,Species_1323,YES,NA,NA,NA,2881,0,NO,OUTLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_78375,3935,16.93366,YES,Timlovirales,Steitzviridae,Genus_134,YES,Species_2941,YES,NA,NA,NA,2566,0,NO,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssRNA_101733,4487,45.705603,YES,Norzivirales,Atkinsviridae,Genus_600,YES,Species_1841,YES,NA,NA,NA,1689,0,NO,VC,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
