VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
VC_0_0,4,189.9444005,0,1,0,1,1.732050808,6,6,1,1.451123717,2,2,1,"AB002632,KC357596,Vibrio~phage~VFJ,Vibrio~phage~fs2"
VC_1000_0,50,13070.69114,35.16518408,0.997316834,4.31E-07,0,2,1225,1225,1,1.42666124,1,2,1,"Gokushovirinae~Fen672_31,KM589508,KT264808,KT264809,KT264810,MH992165,MK249127,MK249128,MK249129,MK249130,MK249132,MK249136,MK249137,MK249139,MK249140,MK249142,MK249145,MK249149,MK249150,MK249152,MK249153,MK249154,MK249155,MK249158,MK249161,MK249162,MK249163,MK249164,MK249166,MK249168,MK249169,MK249170,MK249174,MK249175,MK249176,MK249178,MK249180,MK249184,MK249188,MK249192,MK249194,MK249195,MK249196,MK249198,MK249204,MK249205,MK249212,MK249214,MK249219,MK496752"
VC_1002_0,12,12083.16464,22892.7776,0.34547074,1.00E-41,0,8.124038405,66,66,1,4.824691198,2,2,2,"Gordonia~phage~Attis,Gordonia~phage~SoilAssassin,KU963246,KU963247,MG099941,MH271295,MK279911,MK279912,MK359313,MK801734,MK875797,MN586055"
VC_1003_0,13,9698.041551,3975.768721,0.709242074,5.02E-48,1,8.888194417,78,78,1,6.596405,3,2,2,"Gordonia~phage~Bowser,Gordonia~phage~Hedwig,Gordonia~phage~Schwabeltier,KU963252,KU998235,KX557279,MH479915,MK061410,MK284521,MK878901,MK937599,MK967377,MN813694"
VC_1004_0,3,454.4705705,3151.754856,0.126023894,0.001470156,2.645751311,7.483314774,3,3,1,5.803058658,1,2,2,"Gordonia~phage~Lucky10,KU963256,MN175604"
VC_1004_1,8,4341.151841,16510.15379,0.208195684,1.13E-19,0,7.874007874,28,28,1,6.311144552,1,1,1,"MG872834,MH513979,MH651167,MK284520,MK433274,MK433275,MK820641,MN062715"
VC_1004_2,1,0,1346.899036,0,0,0,0,1,1,1,0,1,1,1,MN892485
VC_1005_0,4,1800,4992.686475,0.264990885,2.40E-05,2.828427125,8.306623863,6,6,1,7.176679089,2,2,2,"Gordonia~phage~Bantam,KX557272,MK977705,MN908691"
VC_1005_1,1,0,1973.496417,0,0,0,0,1,1,1,0,1,1,1,MH590603
VC_1006_0,12,19800,15028.91675,0.568493133,2.95E-31,1.732050808,7.937253933,66,66,1,4.98833249,2,2,2,"Gordonia~phage~Bachita,Gordonia~phage~ClubL,Gordonia~phage~Cucurbita,Gordonia~phage~Smoothie,KU998244,KU998246,KU998247,KX557276,MF919520,MF919537,MK376956,MK376959"
