"vOTU","GENOME_LENGTH","CHECKV_QUALITY","LIFE_CYCLE","TOTAL_METAGENOME_PRESENCE","METATRANSCRIPTOME_PRESENCE","DNA_VIROME_PRESENCE","HOST_GENBANK_ACCESSION","HOST_GENUS","HOST_NAME","VC","SUBCLUSTER","REF_PHAGES_IN_VC","VC_IDENTITY","FAMILY","SPECIES","C1RH","C1S","C2RH","C2S","C3RH","C3S","C4RH","C4S","V1RH","V1S","V2RH","V2S","V3RH","V3S","V4RH","V4S"
"dsDNA_phage_1",31329,"Low-quality","LYTIC",1,0,0,"GCA_000092385.1","Streptomyces","Streptomyces bingchenggensis BCW-1",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,569,0,1585,0,0,0
"dsDNA_phage_10",10886,"Low-quality","TEMPERATE",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,358,0,0,0,182,0,0,0,0,0,0,0,0,0
"dsDNA_phage_100",5269,"Low-quality","TEMPERATE",1,0,0,"GCA_000328565.1","Mycobacterium","Mycobacterium sp. JS623",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
"dsDNA_phage_1000",12945,"Not-determined","LYTIC",0,1,0,"GCA_000263795.2","Hydrogenophaga","Hydrogenophaga sp. PBC",NA,NA,NA,NA,NA,NA,1881,0,1652,0,1110,709,1890,622,0,0,0,0,0,0,0,0
"dsDNA_phage_1001",12879,"Low-quality","LYTIC",0,1,0,"GCA_001955695.1","Rhodoferax","Rhodoferax koreense",NA,NA,NA,NA,NA,NA,1646,0,1219,0,947,0,1833,414,0,0,0,0,0,0,0,0
"dsDNA_phage_1002",12593,"Not-determined","LYTIC",0,1,0,"GCA_001879565.1","Ralstonia","Ralstonia solanacearum OE1-1",NA,NA,NA,NA,NA,NA,1469,0,957,0,953,0,1247,133,45,0,0,0,0,0,0,0
"dsDNA_phage_1003",12494,"Low-quality","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,549,0,355,0,0,0,359,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1004",12274,"Not-determined","LYTIC",0,1,0,"GCA_000263795.2","Hydrogenophaga","Hydrogenophaga sp. PBC",1443,0,"NO","OUTLIER",NA,NA,263,0,165,0,135,0,303,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1005",10803,"Not-determined","LYTIC",0,1,0,"GCA_001263205.1","Labilithrix","Labilithrix luteola",NA,NA,NA,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1006",10795,"Not-determined","LYTIC",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,0,291,0,0,0,305,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1007",10722,"Not-determined","TEMPERATE",0,1,0,"GCA_000296215.2","Bradyrhizobium","Bradyrhizobium sp. CCGE-LA001",NA,NA,NA,NA,NA,NA,508,0,353,0,205,0,369,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1008",10670,"Not-determined","LYTIC",0,1,0,"GCA_000215705.1","Ramlibacter","Ramlibacter tataouinensis TTB310",1444,0,"NO","OUTLIER",NA,NA,1660,0,1169,0,905,0,867,113,0,0,0,0,0,0,0,0
"dsDNA_phage_1009",10542,"Not-determined","LYTIC",0,1,0,"GCA_000176855.2","Acidovorax","Acidovorax avenae subsp. avenae ATCC 19860",NA,NA,NA,NA,NA,NA,1511,0,878,0,857,0,890,0,0,0,0,0,0,0,0,0
"dsDNA_phage_101",34884,"Low-quality","LYTIC",1,0,0,"GCA_000024025.1","Catenulispora","Catenulispora acidiphila DSM 44928",1445,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,400,587,0,0,0,0,0,552
"dsDNA_phage_1010",10423,"Not-determined","LYTIC",0,1,0,"GCA_001580455.1","Ramlibacter","Ramlibacter tataouinensis",1446,0,"NO","VC",NA,NA,691,0,481,0,446,0,581,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1011",10883,"Not-determined","LYTIC",0,1,0,"GCA_000215705.1","Ramlibacter","Ramlibacter tataouinensis TTB310",NA,NA,NA,NA,NA,NA,1621,0,979,0,1072,0,1090,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1012",10869,"Not-determined","LYTIC",0,1,0,"GCA_000219215.1","Cupriavidus","Cupriavidus necator N-1",1447,0,"NO","VC",NA,NA,313,0,178,0,234,0,387,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1013",10850,"Not-determined","LYTIC",0,1,0,"GCA_001854325.1","Cupriavidus","Cupriavidus sp. USMAA1020",1448,0,"NO","VC",NA,NA,583,0,316,0,329,0,336,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1014",10700,"Not-determined","LYTIC",0,1,0,"GCA_002441975.1","Acidovorax","Acidovorax citrulli",NA,NA,NA,NA,NA,NA,1355,0,961,0,919,0,1213,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1015",10699,"Not-determined","LYTIC",0,1,0,"GCA_001971645.1","Achromobacter","Achromobacter insolitus",NA,NA,NA,NA,NA,NA,0,0,237,0,196,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1016",10693,"Not-determined","LYTIC",0,1,0,"GCA_002441975.1","Acidovorax","Acidovorax citrulli",NA,NA,NA,NA,NA,NA,750,0,583,0,414,0,571,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1017",10684,"Not-determined","LYTIC",0,1,0,"GCA_000015725.1","Methylibium","Methylibium petroleiphilum PM1",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_1018",10253,"Not-determined","LYTIC",0,1,0,"GCA_002012025.1","Escherichia","Escherichia coli",1450,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
